unit,landuse,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
KM2,L0008,HU10	6919.0 	6918.0 	6918.4 	6918.3 	6915.8 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,HU21	11117.0 	11117.0 	11116.3 	11116.2 	11116.0 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,HU22	11329.0 	11328.0 	11328.7 	11328.2 	11328.4 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,HU23	14169.0 	14169.0 	14168.5 	14168.7 	14168.7 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,HU31	13430.0 	13430.0 	13430.1 	13431.0 	13432.8 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,HU32	17729.0 	17729.0 	17728.8 	17728.8 	17728.8 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,HU33	18339.0 	18339.0 	18337.7 	18337.8 	18337.2 	: 	: 	: 	: 	: 	: 	: 
KM2,L0008,IE01	32097.1 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 
KM2,L0008,IE02	36296.8 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 
KM2,L0008,IS00	100250.0 	100250.0 	100250.0 	100250.0 	100250.0 	100243.0 	100243.0 	100243.0 	100243.0 	100243.0 	100243.0 	100243.0 
KM2,L0008,ITC1	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	: 	: 	: 
KM2,L0008,ITC2	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	: 	: 	: 
KM2,L0008,ITC3	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	: 	: 	: 
