unit,age,sex,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
NR,TOTAL,T,FRG0	3571495 	3601113 	3632614 	3660852 	3690833 	3718512 	3737632 	3757600 	3781423 	3800348 	3818421 	3849977 p
NR,TOTAL,T,FRH0	3199066 	3217767 	3237097 	3258707 	3276543 	3293850 	3306529 	3318904 	3335414 	3347004 	3358524 	3386415 p
NR,TOTAL,T,FRI1	3232352 	3254233 	3285970 	3316889 	3343326 	3370578 	3393297 	3414585 	3437398 	3458041 	3478538 	3511921 p
NR,TOTAL,T,FRI2	742771 	741072 	738633 	737509 	738120 	738031 	736015 	734528 	731285 	728859 	726253 	724279 p
NR,TOTAL,T,FRI3	1770363 	1777773 	1783991 	1789779 	1797698 	1802873 	1806291 	1807865 	1811095 	1812353 	1813633 	1822237 p
NR,TOTAL,T,FRJ1	2636350 	2670046 	2700266 	2729721 	2751592 	2772683 	2793303 	2810383 	2830361 	2847554 	2864782 	2893969 p
NR,TOTAL,T,FRJ2	2881756 	2903420 	2926592 	2954157 	2979161 	3001502 	3015132 	3034719 	3055135 	3071427 	3087068 	3119320 p
NR,TOTAL,T,FRK1	1347387 	1350682 	1354104 	1357668 	1360461 	1362367 	1363392 	1364156 	1368536 	1370432 	1371820 	1373075 p
NR,TOTAL,T,FRK2	6230691 	6283541 	6341160 	6399927 	6460505 	6515331 	6553497 	6584131 	6625923 	6660101 	6692326 	6740730 p
NR,TOTAL,T,FRL0	4899155 	4916069 	4935576 	4953675 	4983438 	5007977 	5021928 	5030890 	5052832 	5065696 	5077582 	5116360 p
NR,TOTAL,T,FRM0	309693 	314486 	316257 	320208 	324212 	327283 	330455 	334938 	338554 	342256 	345867 	346610 p
NR,TOTAL,T,FRXX	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
NR,TOTAL,T,FRY1	: 	: 	: 	437713 	435293 	433674 	429856 	425587 	421694 	417161 	412682 	408142 p
NR,TOTAL,T,FRY2	394173 	392291 	388364 	385551 	383911 	380877 	376480 	372594 	368783 	364413 	359821 	356029 p
NR,TOTAL,T,FRY3	229040 	237549 	239648 	244118 	252338 	259865 	269352 	268700 	276128 	282107 	288086 	290528 p
NR,TOTAL,T,FRY4	821136 	828581 	833944 	835103 	842767 	850727 	852924 	853659 	855961 	856547 	856858 	866181 p
NR,TOTAL,T,FRY5	: 	: 	: 	: 	223713 	232189 	240987 	250143 	259621 	269186 	278926 	288348 p
NR,TOTAL,T,HR02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1046327 
NR,TOTAL,T,HR03	1415971 	1413426 	1410551 	1407798 	1405908 	1402229 	1394290 	1387363 	1378339 	1374071 	1373802 	1369176 
NR,TOTAL,T,HR04	2886876 	2876431 	2865433 	2854342 	2840901 	2823087 	2796379 	2766850 	2727154 	2702175 	2684363 	: 
NR,TOTAL,T,HR05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	808785 
NR,TOTAL,T,HR06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	812067 
NR,TOTAL,T,HU11	1721556 	1733685 	1727495 b	1735711 	1744665 	1757618 	1759407 	1752704 	1749734 	1752286 	1750216 	1723836 
NR,TOTAL,T,HU12	1229880 	1237561 	1213323 b	1218172 	1220748 	1226115 	1234541 	1247372 	1261864 	1278874 	1297102 	1309802 
NR,TOTAL,T,HU21	1098654 	1094104 	1079589 b	1074702 	1069190 	1063408 	1060703 	1056097 	1055570 	1058236 	1060755 	1059586 
NR,TOTAL,T,HU22	996390 	994698 	984399 b	985279 	984521 	983925 	983933 	983251 	985457 	989343 	994549 	996876 
